Meses desde ultima donacion,N donaciones,Volumen donado,Meses desde primera donacion
7,1,450,7
9,1,450,9
6,1,0,6
6,1,450,6
4,2,900,8
8,1,450,8
6,1,450,6
8,1,0,8
9,1,450,9
5,1,450,5
7,1,0,7
10,1,450,10
2,2,450,7
10,1,450,10
6,1,450,6
2,2,900,6
7,1,450,7
5,1,450,5
10,1,450,10
5,1,450,5
5,1,450,5
10,1,450,10
7,1,450,7
10,1,0,10
6,1,450,6
7,1,450,7
5,1,0,5
7,1,450,7
8,1,450,8
6,1,450,6
6,1,450,6
9,1,450,9
10,1,0,10
10,1,450,10
6,1,0,6
6,1,450,6
9,1,0,9
6,1,450,6
10,1,450,10
9,1,450,9
9,1,450,9
7,2,0,7
7,2,0,7
5,1,450,5
5,1,450,5
7,1,0,7
8,1,450,8
9,1,450,9
10,1,0,10
10,1,450,10
9,1,450,9
6,1,450,6
6,1,0,6
8,1,450,8
6,2,900,10
6,2,900,10
7,1,450,7
8,1,450,8
8,1,450,8
9,1,0,9
10,1,450,10
5,1,450,5
6,1,450,6
1,2,900,7
7,1,450,7
5,1,450,5
8,1,450,8
6,1,0,6
10,1,450,10
8,1,450,8
5,1,0,5
9,1,450,9
8,1,0,8
7,1,450,7
4,2,450,5
7,1,450,7
1,2,900,7
9,1,450,9
7,1,450,7
9,1,450,9
5,1,450,5
5,1,450,5
5,1,450,5
6,1,450,6
7,1,450,7
9,1,450,9
1,2,450,6
6,1,450,6
6,1,450,6
10,1,450,10
2,2,900,9
8,1,450,8
8,1,450,8
7,1,0,7
8,1,450,8
10,1,450,10
9,1,450,9
2,3,1350,10
2,3,1350,10
5,1,450,5
3,2,450,8
7,1,450,7
9,1,450,9
6,1,450,6
9,1,450,9
9,1,450,9
9,1,450,9
6,1,450,6
8,1,450,8
9,1,450,9
8,1,450,8
8,1,450,8
7,1,450,7
6,1,450,6
10,1,0,10
9,1,0,9
7,1,450,7
5,1,450,5
9,1,0,9
2,2,900,9
9,1,450,9
2,2,900,9
9,1,450,9
5,1,450,5
7,1,450,7
5,1,450,5
7,1,450,7
9,1,450,9
7,1,0,7
8,1,450,8
1,2,900,6
8,1,450,8
8,1,0,8
6,2,450,9
6,2,450,9
8,1,450,8
5,2,450,7
5,2,450,7
9,1,450,9
9,1,0,9
7,1,0,7
6,1,0,6
6,1,0,6
6,1,0,6
8,1,450,8
8,1,450,8
10,1,0,10
7,1,0,7
5,1,450,5
7,1,0,7
9,1,450,9
7,1,450,7
9,1,450,9
9,1,450,9
7,1,450,7
8,1,450,8
9,1,450,9
6,1,0,6
3,2,900,9
5,1,450,5
9,1,450,9
4,2,900,8
10,1,450,10
7,1,450,7
10,1,450,10
7,1,0,7
10,1,0,10
4,2,900,9
5,1,450,5
8,1,450,8
4,2,900,9
6,1,0,6
9,1,450,9
2,2,900,6
6,1,450,6
1,2,900,5
9,1,450,9
6,1,450,6
1,2,900,7
6,1,450,6
7,1,0,7
5,1,450,5
7,1,450,7
7,1,450,7
10,1,450,10
8,1,450,8
6,1,450,6
6,1,0,6
7,1,450,7
6,1,450,6
5,1,450,5
9,1,450,9
7,1,450,7
7,1,450,7
7,1,0,7
1,2,450,9
8,1,450,8
8,1,450,8
7,1,450,7
10,1,0,10
6,1,450,6
10,1,450,10
6,1,0,6
8,1,450,8
10,1,450,10
7,1,450,7
10,1,450,10
3,3,900,8
3,3,900,8
9,1,450,9
6,1,0,6
10,1,0,10
9,1,450,9
9,1,450,9
7,1,450,7
8,1,450,8
5,1,450,5
9,1,0,9
9,1,450,9
5,1,450,5
8,1,450,8
8,1,0,8
1,2,900,7
7,1,450,7
6,1,450,6
1,2,900,5
5,1,450,5
5,1,0,5
5,1,450,5
7,1,0,7
3,5,1350,9
3,5,1350,9
7,1,450,7
9,1,450,9
4,2,900,10
5,1,0,5
4,2,900,9
5,1,450,5
10,1,450,10
7,1,450,7
8,1,450,8
9,1,450,9
8,1,450,8
8,1,0,8
5,2,900,10
5,2,900,10
10,1,450,10
6,1,450,6
8,1,450,8
8,1,450,8
8,1,450,8
8,1,0,8
6,2,900,10
6,2,900,10
7,1,450,7
4,2,0,9
7,1,450,7
9,1,450,9
7,1,0,7
6,1,0,6
7,1,0,7
7,1,0,7
9,1,450,9
5,1,0,5
5,1,0,5
7,1,450,7
9,1,450,9
7,1,450,7
10,1,450,10
3,2,450,8
5,1,450,5
7,1,450,7
7,1,450,7
9,1,450,9
10,1,450,10
10,1,450,10
9,1,0,9
7,1,450,7
6,1,450,6
5,2,900,8
5,2,900,8
9,1,450,9
5,1,450,5
1,2,900,6
7,1,450,7
6,1,0,6
7,1,450,7
7,1,450,7
6,2,900,10
6,2,900,10
5,1,0,5
6,1,450,6
6,1,450,6
7,1,0,7
5,1,450,5
9,1,0,9
9,1,450,9
10,1,450,10
8,1,450,8
10,1,450,10
6,1,450,6
3,2,900,7
6,1,450,6
8,1,450,8
8,1,450,8
9,1,0,9
8,1,450,8
4,2,900,9
9,1,450,9
8,1,0,8
7,1,450,7
7,1,0,7
6,1,450,6
7,1,0,7
6,1,450,6
3,2,900,7
4,2,900,8
10,1,450,10
10,1,450,10
10,1,450,10
10,1,450,10
2,2,900,9
6,1,0,6
5,1,0,5
6,1,0,6
7,1,0,7
6,1,450,6
5,1,450,5
8,1,450,8
8,1,450,8
10,1,450,10
9,1,450,9
7,1,450,7
8,1,450,8
10,1,450,10
6,2,450,8
6,2,450,8
6,1,450,6
6,1,450,6
9,1,450,9
8,1,0,8
9,1,0,9
5,1,450,5
5,1,0,5
9,1,0,9
5,1,0,5
8,1,450,8
8,1,0,8
8,1,0,8
10,1,450,10
7,1,450,7
5,1,450,5
9,1,450,9
3,2,900,9
8,1,450,8
7,1,450,7
5,1,450,5
5,1,450,5
6,1,0,6
3,2,450,8
5,1,450,5
9,1,450,9
7,1,0,7
9,1,450,9
8,1,450,8
2,2,900,8
2,2,900,8
9,1,450,9
8,1,450,8
6,1,0,6
10,1,0,10
7,1,450,7
7,1,450,7
7,2,450,10
7,2,450,10
3,2,450,7
6,1,450,6
9,1,450,9
5,1,450,5
6,1,450,6
8,1,450,8
9,1,0,9
8,2,450,9
8,2,450,9
7,1,450,7
9,1,450,9
1,2,900,6
7,1,450,7
5,1,450,5
6,1,450,6
10,1,450,10
10,1,0,10
10,1,0,10
9,1,450,9
2,2,900,6
6,1,450,6
7,1,450,7
5,2,450,10
5,2,450,10
7,1,450,7
6,1,0,6
6,1,450,6
6,1,0,6
6,1,450,6
7,1,450,7
5,1,450,5
8,1,450,8
8,1,450,8
7,1,450,7
7,1,450,7
6,1,450,6
9,2,0,9
9,2,0,9
6,1,450,6
8,1,450,8
8,1,450,8
6,1,0,6
2,2,450,6
8,1,0,8
10,1,450,10
10,1,450,10
6,1,450,6
6,1,450,6
5,1,450,5
7,1,450,7
6,1,0,6
8,1,0,8
6,1,450,6
5,1,450,5
6,1,450,6
5,1,0,5
10,1,450,10
10,1,0,10
9,1,0,9
8,1,450,8
8,1,450,8
8,1,450,8
7,1,450,7
7,1,450,7
6,1,450,6
10,1,0,10
4,2,900,10
10,1,0,10
8,1,450,8
6,2,450,6
6,2,450,6
1,2,900,5
5,1,0,5
7,1,450,7
9,1,0,9
9,1,450,9
8,1,0,8
5,2,900,9
5,2,900,9
9,1,450,9
5,1,450,5
6,1,450,6
5,1,0,5
6,1,0,6
8,1,450,8
6,1,0,6
1,2,450,8
6,1,0,6
6,1,0,6
5,1,0,5
6,1,450,6
9,1,0,9
6,1,0,6
5,1,0,5
6,1,450,6
9,1,450,9
5,1,450,5
6,1,450,6
10,1,0,10
5,1,0,5
4,2,900,10
5,1,0,5
6,1,450,6
8,1,450,8
6,1,450,6
8,1,0,8
6,1,0,6
6,1,0,6
7,1,450,7
7,1,450,7
3,2,900,8
8,1,450,8
7,1,450,7
5,1,450,5
5,2,900,9
5,2,900,9
6,1,450,6
9,1,450,9
6,1,450,6
5,1,0,5
6,1,450,6
10,1,450,10
9,1,450,9
7,1,0,7
8,1,450,8
5,1,0,5
7,1,450,7
7,1,450,7
6,1,0,6
8,1,450,8
7,1,450,7
7,1,0,7
7,1,450,7
7,1,450,7
1,2,900,5
9,1,450,9
9,1,0,9
6,1,450,6
2,2,900,6
6,1,450,6
6,1,450,6
5,1,450,5
10,1,450,10
7,1,450,7
8,1,450,8
5,1,450,5
5,1,450,5
6,1,450,6
10,1,450,10
4,2,900,10
7,1,0,7
6,1,450,6
10,1,0,10
9,1,0,9
5,2,450,10
5,2,450,10
5,1,450,5
7,1,450,7
7,1,450,7
10,1,450,10
8,1,450,8
10,1,450,10
8,1,450,8
10,1,450,10
4,2,900,8
9,1,0,9
8,1,0,8
9,1,450,9
7,1,450,7
7,1,450,7
3,2,900,8
7,1,450,7
8,1,450,8
9,1,0,9
2,2,900,7
10,1,450,10
2,2,900,6
2,2,900,6
6,1,0,6
6,1,450,6
8,2,450,9
8,2,450,9
5,1,0,5
6,1,450,6
8,1,450,8
5,1,450,5
7,1,450,7
3,3,1350,10
3,3,1350,10
10,1,450,10
5,1,450,5
7,1,450,7
9,1,450,9
8,1,0,8
5,1,450,5
5,1,450,5
6,1,0,6
10,1,450,10
10,1,450,10
6,1,450,6
7,1,450,7
10,1,450,10
8,1,450,8
8,1,450,8
9,1,450,9
5,1,450,5
10,1,0,10
8,1,450,8
8,1,450,8
6,1,0,6
10,1,450,10
6,1,0,6
3,2,900,7
5,1,450,5
7,1,0,7
9,1,450,9
3,2,900,10
7,1,450,7
5,2,450,7
5,2,450,7
8,1,450,8
9,1,0,9
9,1,450,9
7,1,0,7
8,1,450,8
3,3,900,8
3,3,900,8
5,1,450,5
9,1,0,9
5,1,0,5
7,1,450,7
8,1,450,8
8,1,450,8
7,1,0,7
7,1,0,7
7,1,0,7
9,1,450,9
5,1,450,5
10,1,450,10
10,1,0,10
8,1,450,8
6,1,450,6
10,1,450,10
5,1,0,5
5,1,450,5
5,1,450,5
6,1,450,6
10,1,450,10
5,1,0,5
5,2,900,10
5,2,900,10
9,1,450,9
8,1,450,8
8,1,450,8
2,9,3600,10
2,9,3600,10
2,9,3600,10
2,9,3600,10
2,9,3600,10
2,9,3600,10
2,9,3600,10
9,1,450,9
7,1,450,7
5,1,450,5
8,1,450,8
7,1,0,7
7,1,450,7
8,1,450,8
5,1,450,5
6,1,450,6
8,1,450,8
5,1,450,5
5,1,450,5
5,1,0,5
8,1,450,8
6,1,450,6
6,1,450,6
10,1,450,10
10,1,0,10
10,1,0,10
10,1,450,10
9,1,450,9
5,1,450,5
7,1,0,7
10,1,450,10
8,1,450,8
6,1,0,6
10,1,450,10
9,1,450,9
10,1,0,10
7,1,0,7
8,1,450,8
9,1,450,9
7,1,450,7
6,2,450,6
6,2,450,6
6,1,450,6
10,1,450,10
5,1,450,5
5,1,450,5
7,1,450,7
10,1,450,10
7,1,450,7
9,1,450,9
6,1,450,6
5,1,450,5
8,1,0,8
8,1,450,8
10,1,450,10
7,1,450,7
2,2,450,7
8,1,450,8
9,1,450,9
8,1,450,8
4,2,900,7
7,1,450,7
8,2,450,8
8,2,450,8
6,1,0,6
8,1,450,8
7,1,450,7
7,1,450,7
8,1,450,8
4,2,900,8
9,1,0,9
10,1,450,10
7,1,450,7
7,1,450,7
9,1,450,9
9,1,450,9
5,1,450,5
6,1,450,6
5,1,0,5
6,1,450,6
8,1,0,8
9,1,450,9
4,2,900,9
9,1,450,9
7,1,0,7
6,1,450,6
2,2,900,10
9,1,450,9
6,1,450,6
5,1,0,5
9,1,450,9
9,1,450,9
5,1,450,5
5,1,450,5
9,1,0,9
6,2,450,9
6,2,450,9
10,1,450,10
6,1,450,6
6,1,0,6
5,1,450,5
5,1,450,5
2,2,900,6
9,1,450,9
10,1,450,10
5,1,450,5
5,1,450,5
7,1,450,7
9,1,450,9
7,1,450,7
5,1,450,5
10,1,450,10
8,1,450,8
9,1,0,9
9,1,450,9
7,1,450,7
7,1,450,7
9,1,0,9
8,1,450,8
9,1,450,9
9,1,450,9
5,1,450,5
1,2,900,7
7,1,450,7
6,1,0,6
10,1,450,10
7,1,450,7
10,1,450,10
8,1,450,8
8,1,0,8
3,2,900,10
9,1,450,9
9,1,0,9
6,1,450,6
5,1,450,5
6,1,450,6
6,1,0,6
9,1,0,9
9,1,0,9
6,1,450,6
6,1,450,6
9,1,450,9
4,2,900,10
8,1,450,8
5,1,450,5
2,2,900,6
10,1,0,10
10,1,450,10
7,2,450,8
7,2,450,8
5,1,450,5
9,1,450,9
9,1,450,9
10,1,450,10
9,1,450,9
9,1,450,9
9,1,450,9
9,1,450,9
9,1,0,9
4,2,900,9
5,1,450,5
4,2,900,10
7,1,450,7
5,1,450,5
2,2,450,8
9,1,450,9
10,1,450,10
8,1,450,8
8,1,450,8
10,1,0,10
4,2,900,10
3,2,900,8
3,2,900,10
6,3,1350,10
6,3,1350,10
6,3,1350,10
1,3,900,6
10,1,0,10
9,1,450,9
1,2,450,7
5,1,450,5
10,1,0,10
9,1,450,9
9,1,450,9
6,1,450,6
7,1,450,7
9,1,0,9
7,1,450,7
1,2,900,9
6,2,450,6
6,2,450,6
5,1,450,5
7,1,450,7
7,1,450,7
7,1,450,7
2,3,1350,8
2,3,1350,8
5,1,450,5
9,1,0,9
6,1,450,6
9,1,450,9
9,1,450,9
7,1,450,7
9,1,0,9
5,1,450,5
6,1,450,6
3,2,900,9
8,1,450,8
8,1,0,8
7,1,450,7
10,1,450,10
7,1,0,7
5,1,0,5
6,1,450,6
10,1,450,10
9,1,450,9
8,1,450,8
8,1,0,8
9,1,450,9
8,1,450,8
6,1,450,6
9,1,450,9
5,1,450,5
10,1,450,10
6,1,0,6
8,1,450,8
8,1,450,8
10,1,450,10
8,1,450,8
7,1,450,7
5,1,450,5
7,1,0,7
5,1,450,5
10,1,450,10
5,1,450,5
6,1,450,6
7,1,450,7
7,1,450,7
10,1,0,10
5,1,450,5
5,1,450,5
7,1,0,7
8,1,0,8
6,1,450,6
10,1,0,10
2,2,900,7
8,1,450,8
1,2,900,7
6,1,0,6
6,1,450,6
5,1,450,5
8,1,450,8
8,1,0,8
5,1,0,5
5,1,450,5
2,2,900,8
10,1,0,10
5,1,450,5
5,1,450,5
10,1,450,10
1,2,900,6
5,1,0,5
6,1,0,6
4,2,900,7
9,1,450,9
9,1,450,9
8,1,0,8
8,1,450,8
7,1,450,7
10,1,450,10
8,1,0,8
6,1,450,6
5,1,450,5
5,2,900,10
5,2,900,10
8,1,450,8
8,1,0,8
10,1,450,10
10,1,450,10
6,1,450,6
7,1,450,7
8,1,0,8
8,1,450,8
8,1,450,8
5,1,0,5
5,1,450,5
6,1,0,6
6,1,450,6
5,1,0,5
7,1,450,7
10,1,450,10
10,1,450,10
8,1,450,8
7,1,450,7
7,1,450,7
9,1,450,9
8,1,450,8
9,1,450,9
9,1,450,9
6,1,450,6
7,1,0,7
7,1,0,7
6,1,450,6
1,3,1350,10
1,3,1350,10
10,1,450,10
9,1,450,9
5,1,450,5
5,1,450,5
5,1,450,5
5,1,0,5
7,1,450,7
5,1,450,5
10,1,450,10
9,1,450,9
9,1,450,9
9,1,450,9
2,2,900,8
8,1,450,8
8,1,450,8
8,2,450,8
8,2,450,8
6,1,450,6
7,1,450,7
7,1,0,7
9,1,450,9
9,1,450,9
7,1,0,7
6,1,450,6
9,1,450,9
6,1,450,6
7,1,450,7
6,1,0,6
8,1,450,8
5,1,450,5
5,1,450,5
10,1,450,10
8,1,450,8
9,1,450,9
9,1,450,9
6,1,0,6
10,1,0,10
9,1,450,9
9,1,450,9
5,1,450,5
10,1,450,10
4,2,900,8
6,1,0,6
10,1,450,10
10,1,0,10
10,1,450,10
8,1,0,8
10,1,0,10
5,1,0,5
10,1,450,10
6,1,450,6
9,1,0,9
7,1,450,7
5,1,450,5
10,1,450,10
8,1,0,8
7,1,450,7
8,1,450,8
8,1,450,8
10,1,450,10
7,1,450,7
7,1,450,7
8,1,450,8
9,1,0,9
9,1,0,9
7,1,450,7
8,1,450,8
10,1,450,10
9,1,450,9
8,1,450,8
9,1,450,9
5,1,450,5
1,2,900,7
3,3,1350,10
3,3,1350,10
6,1,0,6
10,1,450,10
5,1,450,5
6,1,450,6
2,2,900,7
9,1,0,9
9,1,450,9
6,1,450,6
9,1,450,9
6,1,0,6
10,1,450,10
10,1,450,10
10,1,450,10
5,1,450,5
5,1,450,5
7,1,450,7
7,1,0,7
1,2,900,6
5,1,450,5
6,1,450,6
4,2,450,9
5,1,450,5
10,1,450,10
6,1,450,6
8,1,450,8
8,1,450,8
8,1,450,8
5,1,450,5
8,1,450,8
9,1,450,9
8,1,450,8
9,1,450,9
8,1,450,8
9,1,0,9
7,1,450,7
9,1,0,9
6,1,450,6
5,1,450,5
9,1,0,9
10,1,450,10
8,1,450,8
5,1,450,5
6,1,450,6
8,1,450,8
9,1,450,9
7,1,450,7
6,1,0,6
10,1,450,10
7,1,450,7
10,1,450,10
10,1,0,10
6,1,0,6
8,1,0,8
7,1,450,7
9,1,450,9
10,1,450,10
7,1,450,7
5,2,0,7
5,2,0,7
9,1,450,9
8,1,450,8
8,1,450,8
7,1,450,7
7,1,450,7
9,1,450,9
9,1,0,9
5,1,450,5
8,1,450,8
9,1,450,9
6,1,450,6
1,3,900,6
6,1,0,6
6,1,0,6
5,1,450,5
9,1,0,9
8,1,450,8
10,1,0,10
8,1,450,8
9,1,450,9
7,1,450,7
9,1,450,9
9,1,450,9
10,1,450,10
7,1,0,7
7,1,0,7
8,1,450,8
10,1,450,10
3,2,900,7
6,1,450,6
6,1,450,6
6,1,0,6
6,1,450,6
5,1,450,5
7,1,450,7
5,1,450,5
5,1,450,5
9,1,450,9
7,1,450,7
10,1,450,10
4,2,900,8
9,1,0,9
10,1,450,10
7,1,0,7
6,1,0,6
10,1,0,10
7,1,0,7
9,1,450,9
10,1,0,10
6,1,0,6
8,1,450,8
1,3,900,8
1,3,900,8
10,1,450,10
10,1,0,10
8,1,450,8
6,1,450,6
2,2,900,7
8,1,450,8
5,1,0,5
10,1,450,10
6,1,450,6
10,1,450,10
10,1,450,10
10,1,450,10
8,1,450,8
5,1,450,5
6,1,450,6
3,2,450,7
6,1,450,6
8,1,450,8
7,2,0,9
7,2,0,9
7,1,0,7
10,1,450,10
7,1,0,7
8,1,0,8
8,1,450,8
5,1,0,5
2,3,900,9
2,3,900,9
7,2,450,8
7,2,450,8
6,1,0,6
9,1,450,9
9,1,450,9
6,1,0,6
8,1,450,8
9,1,450,9
10,1,450,10
10,1,450,10
2,2,900,6
4,2,900,10
8,1,450,8
8,1,450,8
7,1,450,7
10,1,0,10
6,1,0,6
7,1,0,7
8,1,450,8
7,1,0,7
10,1,450,10
10,1,450,10
7,1,450,7
8,1,450,8
9,1,450,9
7,1,450,7
4,2,900,10
10,1,0,10
2,2,450,8
1,2,900,7
8,1,450,8
9,1,450,9
9,1,450,9
7,1,0,7
7,1,450,7
10,1,450,10
5,1,450,5
5,1,450,5
6,1,0,6
6,1,450,6
5,1,450,5
2,3,1350,10
2,3,1350,10
6,1,450,6
6,1,450,6
10,1,0,10
8,1,450,8
8,1,450,8
7,1,0,7
5,1,0,5
5,1,450,5
10,1,0,10
10,1,450,10
8,1,450,8
7,1,450,7
2,2,450,9
6,1,450,6
10,1,0,10
5,1,450,5
10,1,450,10
3,2,900,6
10,1,0,10
9,1,0,9
5,2,900,10
5,2,900,10
6,1,0,6
6,1,450,6
6,1,0,6
10,1,450,10
6,1,450,6
7,1,450,7
2,2,900,10
7,1,0,7
5,1,450,5
6,1,450,6
7,1,0,7
4,2,900,8
9,1,450,9
7,1,450,7
